127.0.0.1 - - [20/Sep/2023:09:10:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:53 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:12:14 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:12:47 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:18:16 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:24:04 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:26:56 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:26 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:44 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:04 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:43:24 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:12:52 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:12:53 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:12:53 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:12:57 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:20:52 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:23:19 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:26:37 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:31:26 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:32:03 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:32:17 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:32:18 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:32:19 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:32:39 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:37:12 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:37:14 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:37:15 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:38:51 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:39:18 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:39:19 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:41:30 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:41:34 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:41:43 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:45:58 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:46:15 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:46:16 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:46:19 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:46:20 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:46:21 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:46:22 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:46:56 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [20/Sep/2023:10:47:24 +0900] "GET /client/html/images/ex09_style.html HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:09:09 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:10:02 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:10:28 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:10:33 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:15:35 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:16:25 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:17:56 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:18:32 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:20:46 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 4710
0:0:0:0:0:0:0:1 - - [20/Sep/2023:11:33:07 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:29:49 +0900] "GET /client/html/class.html HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:24 +0900] "GET /client/html/class.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:35 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:36 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:37 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:38 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:43 +0900] "GET /client/html/class.html HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:48 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:48 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:56 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:56 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:57 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:30:59 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:31:00 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:31:02 +0900] "GET /client/html/class.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:31:45 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:33 +0900] "GET /client/html/class.html HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:33 +0900] "GET /client/html/image/%EC%8B%9C%EC%B8%84.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:34 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:34 +0900] "GET /client/html/image/%EC%8B%9C%EC%B8%84.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:36 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:36 +0900] "GET /client/html/image/%EC%8B%9C%EC%B8%84.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:39 +0900] "GET /client/html/class.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:39 +0900] "GET /client/html/image/%EC%8B%9C%EC%B8%84.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:59 +0900] "GET /client/html/class.html HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [20/Sep/2023:12:35:59 +0900] "GET /client/html/images/%EC%8B%9C%EC%B8%84.jpg HTTP/1.1" 200 565942
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:06:23 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:07:34 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:07:38 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:09:20 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:13:16 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:13:30 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:21:04 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 8578
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:21:09 +0900] "GET /client/html/ex_10_list.html HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:21:25 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:21:26 +0900] "GET /client/html/ex_10_list.html HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:23:22 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:23:25 +0900] "GET /client/html/ex_10_list.html HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:23:32 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:24:08 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 8625
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:25:11 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 8683
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:54:25 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:54:31 +0900] "GET /client/html/ex%2010_list.html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:54:33 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:54:36 +0900] "GET /client/html/ex%2010_list.html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [20/Sep/2023:14:55:09 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:05:27 +0900] "GET /client/html/images/%EC%8B%9C%EC%B8%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:18:38 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:18:40 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:21:08 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:21:21 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:21:23 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:21:24 +0900] "GET /client HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:21:24 +0900] "GET /client/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:21:38 +0900] "GET /client/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:21:42 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:23:05 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:23:10 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:26:19 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:29:38 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 16373
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:33:39 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 16015
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:33:44 +0900] "GET /client/html/member/member.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:34:05 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:34:06 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 16033
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:34:07 +0900] "GET /client/html/admin/admin.html HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:34:26 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 16056
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:34:27 +0900] "GET /client/html/member/auth/auth.html HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:36:45 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 16176
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:36:47 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:36:50 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:36:54 +0900] "GET /client/html/admin/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:36:56 +0900] "GET /client/html/member/auth/auth.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:14 +0900] "GET /client/html/member/member.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:15 +0900] "GET /client/html/member/member/member.html HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:18 +0900] "GET /client/html/member/admin/admin.html HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:21 +0900] "GET /client/html/member/member/auth/auth.html HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:25 +0900] "GET /client/html/member/auth/auth.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:27 +0900] "GET /client/html/admin/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:29 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:31 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:38:38 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:43:53 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:46:02 +0900] "GET /client/html/member/member.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:46:04 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:46:07 +0900] "GET /client/html/admin/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:46:09 +0900] "GET /client/html/member/auth/auth.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:46:11 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:47:38 +0900] "GET /client/html/admin/admin.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:47:41 +0900] "GET /client/html/ex12_url.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:47:43 +0900] "GET /client/html/member/member.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:47:45 +0900] "GET /client/html/admin/admin/admin.html HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:47:47 +0900] "GET /client/html/member/auth/auth.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:47:50 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:50:34 +0900] "GET /client/html/member/auth/auth.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:50:37 +0900] "GET /client/html/member/member.html HTTP/1.1" 304 -
